            White Pawn to 3, 4 = 0.201862
            White Pawn to 2, 4 = 0.171093
            White Pawn to 1, 4 = 0.215049
            White Pawn to 1, 5 = 0.532906
            White Pawn to 3, 5 = 0.400763
            White Pawn to 0, 4 = 0.243254
            White Pawn to 0, 5 = 0.359921
            White Pawn to 5, 4 = -0.134524
            White Pawn to 5, 5 = 0.197619
            White Pawn to 6, 4 = 0.217796
            White Pawn to 6, 5 = 0.497192
            White Pawn to 7, 4 = 0.243254
            White Pawn to 7, 5 = 0.359921
            White King to 4, 6 = -0.190751
            White Pawn to 2, 5 = 0.512302
            White Knight to 2, 5 = 0.782143
            White Knight to 0, 5 = 0.482143
            White Bishop to 0, 2 = 0.39881
            White Bishop to 1, 3 = 0.532051
            White Bishop to 2, 4 = 0.511447
            White Bishop to 3, 5 = 0.570513
            White Bishop to 4, 6 = 0.460623
            White Knight to 5, 5 = 0.764286
            White Knight to 7, 5 = 0.482143
            White Knight to 4, 6 = 0.374725
            White Queen to 6, 4 = 0.00274725
            White Queen to 7, 3 = -0.142857
            White Queen to 5, 5 = -0.0535714
            White Queen to 4, 6 = -0.260989
        Black Queen to 3, 3 = 0.782143
            White Pawn to 3, 4 = 1
        Black Pawn to 4, 3 = 1
            White Pawn to 3, 4 = 0.971703
        Black Pawn to 2, 3 = 0.971703
            White Bishop to 1, 3 = 2.317
        Black Pawn to 1, 3 = 2.317
            White Pawn to 3, 4 = 0.668956
            White Pawn to 6, 5 = 1.01786
        Black Pawn to 1, 2 = 1.01786
            White Pawn to 4, 2 = 1.96114
        Black Pawn to 4, 2 = 1.96114
            White Pawn to 3, 4 = 1.39545
        Black Pawn to 5, 3 = 1.39545
            White Pawn to 3, 4 = 0.818529
        Black Pawn to 5, 2 = 0.818529
            White Pawn to 3, 4 = 0.930495
        Black Pawn to 6, 3 = 0.930495
            White Pawn to 3, 4 = 0.668956
            White Pawn to 5, 5 = 0.68257
            White Pawn to 2, 4 = 0.788187
        Black Pawn to 6, 2 = 0.788187
            White Queen to 7, 3 = 1.6496
        Black Pawn to 7, 3 = 1.6496
            White Pawn to 3, 4 = 0.824084
        Black Pawn to 7, 2 = 0.824084
            White Pawn to 3, 4 = 0.940751
        Black Pawn to 0, 3 = 0.940751
            White Bishop to 0, 2 = 2.20675
        Black Pawn to 0, 2 = 2.20675
            White Pawn to 3, 4 = 1.3569
        Black King to 3, 1 = 1.3569
            White Pawn to 2, 2 = 1.81746
        Black Pawn to 2, 2 = 1.81746
            White Pawn to 3, 4 = 0.791422
        Black Knight to 3, 1 = 0.791422
            White Pawn to 2, 2 = 3.64762
        Black Knight to 2, 2 = 3.64762
            White Bishop to 0, 2 = 3.70119
        Black Knight to 0, 2 = 3.70119
            White Pawn to 7, 5 = 4.14701
        Black Bishop to 7, 5 = 4.14701
            White Queen to 6, 4 = 3.89625
        Black Bishop to 6, 4 = 3.89625
            White Pawn to 3, 4 = 0.613492
            White King to 4, 6 = 0.256593
            White Pawn to 0, 4 = 0.690598
            White Pawn to 0, 5 = 0.807265
        Black Bishop to 5, 3 = 0.807265
            White Pawn to 4, 2 = 3.94386
        Black Bishop to 4, 2 = 3.94386
            White Pawn to 3, 4 = 0.687668
            White Pawn to 0, 5 = 0.881441
        Black Bishop to 3, 1 = 0.881441
            White Pawn to 3, 4 = 0.701862
            White Pawn to 6, 4 = 0.771368
            White Pawn to 7, 4 = 0.778968
            White Pawn to 7, 5 = 0.895635
        Black Knight to 7, 2 = 0.895635
            White Pawn to 3, 4 = 0.401862
            White Pawn to 7, 4 = 0.478968
            White Pawn to 5, 4 = 0.10119
            White Pawn to 5, 5 = 0.415476
            White Pawn to 1, 4 = 0.450763
            White Pawn to 1, 5 = 0.750763
            White King to 4, 6 = 0.0449634
            White Pawn to 6, 4 = 0.471368
            White Pawn to 6, 5 = 0.750763
            White Pawn to 2, 4 = 0.521093
            White Pawn to 2, 5 = 0.748016
            White Pawn to 7, 5 = 0.595635
            White Pawn to 0, 5 = 0.595635
            White Pawn to 0, 4 = 0.478968
            White Pawn to 3, 5 = 0.61862
            White Pawn to 3, 2 = 0.319048
            White Bishop to 4, 6 = 0.696337
            White Bishop to 3, 5 = 0.78837
        Black Knight to 5, 2 = 0.78837
            White Pawn to 3, 4 = 1.23758
        Black Queen to 3, 2 = 1.23758
            White Pawn to 3, 4 = 1.48071
        Black Queen to 3, 1 = 1.48071
    White Pawn to 3, 3 = 0.782143
            White Pawn to 3, 3 = -0.863614
            White King to 4, 6 = -0.755556
            White Pawn to 6, 4 = -0.729151
            White Pawn to 6, 5 = -0.449756
            White Pawn to 2, 4 = -0.829426
            White Pawn to 2, 5 = -0.452503
            White Pawn to 5, 4 = -2.77625
            White Pawn to 5, 5 = -0.785043
            White Pawn to 7, 4 = -0.721551
            White Pawn to 7, 5 = -0.604884
            White Pawn to 0, 5 = -0.604884
            White Pawn to 0, 4 = -0.721551
            White King to 3, 6 = -0.737698
            White Pawn to 1, 5 = -0.449756
            White Pawn to 1, 4 = -0.749756
            White Knight to 5, 5 = -0.218376
            White Knight to 7, 5 = -0.482662
            White Knight to 4, 6 = -0.590079
            White Bishop to 4, 6 = -0.504182
            White Bishop to 3, 5 = -0.878724
            White Knight to 0, 5 = -0.482662
            White Knight to 2, 5 = -0.182662
            White Knight to 3, 6 = -0.572222
            White Bishop to 2, 4 = -0.412149
            White Bishop to 1, 3 = -0.450611
            White Bishop to 7, 2 = -0.548138
            White Bishop to 6, 3 = -0.471215
            White Bishop to 5, 4 = -0.394292
            White Bishop to 4, 5 = -0.509676
            White Bishop to 3, 6 = -0.468468
            White Bishop to 0, 2 = -0.565995
            White Queen to 3, 6 = -1.29722
            White Queen to 3, 5 = -1.22305
            White Queen to 4, 6 = -1.29722
            White Queen to 5, 5 = -1.0898
            White Queen to 6, 4 = -1.0692
            White Queen to 7, 3 = -1.0898
        Black Pawn to 4, 4 = -0.182662
    White Pawn to 3, 4 = -0.182662
            White Pawn to 3, 5 = 0.31743
            White Pawn to 0, 4 = 0.177778
            White Pawn to 0, 5 = 0.294444
            White Pawn to 6, 4 = 0.170177
            White Pawn to 6, 5 = 0.449573
            White Pawn to 1, 4 = 0.149573
            White Pawn to 1, 5 = 0.449573
            White Pawn to 2, 4 = 0.0699023
            White Pawn to 2, 5 = 0.446825
            White Pawn to 7, 5 = 0.294444
            White Pawn to 4, 2 = 0.115385
            White King to 4, 6 = -0.256227
            White Pawn to 5, 4 = -0.05
            White Pawn to 7, 4 = 0.177778
            White Pawn to 5, 5 = 0.114286
            White Knight to 0, 5 = 0.416667
            White Bishop to 4, 6 = 0.395147
            White Bishop to 3, 5 = 0.487179
            White Bishop to 2, 4 = 0.487179
            White Bishop to 1, 3 = 0.448718
            White Bishop to 0, 2 = 0.333333
            White Knight to 2, 5 = 0.716667
            White Knight to 5, 5 = 0.680952
            White Knight to 7, 5 = 0.416667
            White Knight to 4, 6 = 0.309249
            White Queen to 4, 6 = -0.362179
            White Queen to 5, 5 = -0.10119
            White Queen to 6, 4 = -0.1163
            White Queen to 7, 3 = -0.22619
        Black Pawn to 3, 4 = 0.716667
    White Pawn to 4, 3 = 0.716667
            White Pawn to 3, 4 = -0.721551
            White Pawn to 0, 4 = -0.680159
            White Pawn to 6, 4 = -0.687759
            White Pawn to 6, 5 = -0.408364
            White Pawn to 5, 4 = -1.05794
            White Pawn to 5, 5 = -0.743651
            White Pawn to 1, 4 = -0.708364
            White Pawn to 1, 5 = -0.408364
            White King to 4, 6 = -1.11416
            White Pawn to 2, 4 = -0.788034
            White Pawn to 2, 5 = -0.411111
            White Pawn to 0, 5 = -0.563492
            White Pawn to 7, 3 = -0.824603
            White Pawn to 3, 5 = -0.633761
            White Bishop to 2, 4 = -0.370757
            White Knight to 5, 5 = -0.176984
            White Knight to 7, 5 = -0.474603
            White Knight to 4, 6 = -0.548687
            White Bishop to 0, 2 = -0.524603
            White Bishop to 1, 3 = -0.409219
            White Knight to 0, 5 = -0.44127
            White Bishop to 3, 5 = -0.468284
            White Bishop to 4, 6 = -0.46279
            White Knight to 2, 5 = -0.14127
            White Rook to 7, 6 = -0.574603
            White Rook to 7, 5 = -0.524603
            White Queen to 4, 6 = -1.23797
            White Queen to 5, 5 = -1.0127
            White Queen to 6, 4 = -0.992094
            White Queen to 7, 3 = -1.04841
        Black Pawn to 4, 4 = -0.14127
    White Pawn to 7, 4 = -0.14127
            White Pawn to 3, 4 = -0.749756
            White King to 4, 6 = -1.14237
